品目コード,品名,MKライン,MK流量(㎏/h),FKライン,FK流量(㎏/h),KOライン,KO流量(㎏/h),"KOスライス
ノズルサイズ","KOS使用
段ボール",一般マーガリン製品,プレミアムスター製品,MK特殊品,ファットスプレッド製品,KOスライス製品,エレバール,エレバールFB　Ⅱ,FHシリーズ,ランディ,アロマゴールド,アロマーデソフト,ジェネルー,バター,バレット,リス,ＳＯＺＡ　Ｙ,ネオシュー,ｿｼｴﾙｼﾘｰｽﾞ,アレルゲン,(一般マーガリンのみ)区分,色,香料,乳化剤,塩,窒素ガス,荷姿,バッチ制限,1品種Nバッチ,特記事項
25318221850,FS練乳ｸﾘｰﾑ-Ⅱ(M),×,-,限定,2100,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,C,×,○,○,○,普通,○,段,×,×,
25318221870,FS練乳ｸﾘｰﾑ-Ⅱ(H),×,-,限定,2100,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,C,×,○,○,○,普通,○,段,×,×,
25318321000,ｵﾘﾝﾋﾟｱCLｼ-ﾄ20,×,-,×,-,限定,1050,285,12S,×,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,C,×,○,○,○,普通,×,段,×,×,
25318521030,ｺｯﾍﾟﾘｱﾐﾙｸ(3),×,-,限定,2000,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,×,○,○,○,普通,○,段,×,×,
25318521040,ｺｯﾍﾟﾘｱﾐﾙｸ(4),×,-,限定,2000,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,×,○,○,○,普通,○,段,×,×,
25318521050,ｺｯﾍﾟﾘｱﾐﾙｸ(5),×,-,限定,2000,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,×,○,○,○,普通,○,段,×,×,
25318621030,ﾘｽﾊﾟｰﾙSP(3),×,-,限定,2000,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,×,○,○,○,普通,○,段,×,×,
25318621040,ﾘｽﾊﾟｰﾙSP(4),×,-,限定,2000,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,×,○,○,○,普通,○,段,×,×,
25318621050,ﾘｽﾊﾟｰﾙSP(5),×,-,限定,2000,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,×,○,○,○,普通,○,段,×,×,
25318921850,ﾌﾛｲﾃﾞP-BF(M),○,4000,○,4000,×,-,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-3-2,○,○,○,低,○,段,×,×,
25319221830,ﾐﾙｸｸﾘ-ﾑLW-4(S),×,-,限定,2100,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,C,×,○,○,○,普通,○,段,×,×,
25319221850,ﾐﾙｸｸﾘ-ﾑLW-4(M),×,-,限定,2100,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,C,×,○,○,○,普通,○,段,×,×,
25319221870,ﾐﾙｸｸﾘ-ﾑLW-4(H),×,-,限定,2100,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,C,×,○,○,○,普通,○,段,×,×,
25319521830,ｽﾌﾟﾚｯﾄﾞﾏｰｶﾞﾘﾝB-V(S),○,3200,○,3200,○,3200,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-3-4,○,○,○,高,×,段,×,×,
25319521850,ｽﾌﾟﾚｯﾄﾞﾏｰｶﾞﾘﾝB-V(M),○,3200,○,3200,○,3200,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-3-4,○,○,○,高,×,段,×,×,
25319521870,ｽﾌﾟﾚｯﾄﾞﾏｰｶﾞﾘﾝB-V(H),○,3200,○,3200,○,3200,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-3-4,○,○,○,高,×,段,×,×,
25319621850,LPﾏｰｶﾞﾘﾝW-3(M),○,2800,○,2800,×,-,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,A,A-3-2,○,○,○,普通,○,段,×,×,
25319621870,LPﾏｰｶﾞﾘﾝW-3(H),○,2800,○,2800,×,-,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,A,A-3-2,○,○,○,普通,○,段,×,×,
25319721830,M-YR,○,4000,○,3200,×,-,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-3-1,○,○,○,無し,○,段,×,×,NO6充填機指定。
25319821810,BPﾏ-ｶﾞﾘﾝA-3(SS),○,4000,○,3200,×,-,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-3-2,○,○,○,低,○,段,×,×,
25321421830,SHｸﾘｰﾑﾍﾞｰｽW(S),×,-,〇,2000,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,C,×,○,○,○,普通,○,段,×,×,
25321421850,SHｸﾘｰﾑﾍﾞｰｽW(M),×,-,〇,2000,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,C,×,○,○,○,普通,○,段,×,×,
25321421870,SHｸﾘｰﾑﾍﾞｰｽW(H),×,-,〇,2000,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,C,×,○,○,○,普通,○,段,×,×,
25321821850,ｵﾘﾝﾋﾟｱﾛｰﾔﾙｼｰﾄ(M),×,-,×,-,○,1700,285,1S,×,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,B,×,○,○,○,普通,×,段,×,×,
25322921850,KCｼｰﾄ（500ℊ）(M),×,-,×,-,○,1000,350,5S,×,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,B,×,○,○,○,普通,×,段,×,×,
25323021000,YQﾏｰｶﾞﾘﾝ,○,4000,○,3200,×,-,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-3-2,○,○,○,低,○,段,×,×,
25323421810,ﾛﾜｰﾙCPﾌﾟﾚﾐｱﾑ-F(SS),○,4000,○,3700,○,4000,×,-,○,×,×,×,×,×,×,×,○,×,×,×,×,×,×,×,×,×,C,最終,○,○,×,普通,×,段,5,×,1系列；5バッチ/日
25323421830,ﾛﾜｰﾙCPﾌﾟﾚﾐｱﾑ-F(S),○,4000,○,3700,○,4000,×,-,○,×,×,×,×,×,×,×,○,×,×,×,×,×,×,×,×,×,C,最終,○,○,×,普通,×,段,5,×,1系列；5バッチ/日
25323421850,ﾛﾜｰﾙCPﾌﾟﾚﾐｱﾑ-F(M),○,4000,○,3700,○,4000,×,-,○,×,×,×,×,×,×,×,○,×,×,×,×,×,×,×,×,×,C,最終,○,○,×,普通,×,段,5,×,1系列；5バッチ/日
25323421870,ﾛﾜｰﾙCPﾌﾟﾚﾐｱﾑ-F(H),○,4000,○,3700,○,4000,×,-,○,×,×,×,×,×,×,×,○,×,×,×,×,×,×,×,×,×,C,最終,○,○,×,普通,×,段,5,×,1系列；5バッチ/日
25324221830,ｸﾘｰﾐｰｿﾌﾄY(S),○,4000,○,3700,×,-,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-3-3,○,○,○,普通,×,段,×,×,
25324221850,ｸﾘｰﾐｰｿﾌﾄY(M),○,4000,○,3700,×,-,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-3-3,○,○,○,普通,×,段,×,×,
25324221870,ｸﾘｰﾐｰｿﾌﾄY(H),○,4000,○,3700,×,-,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-3-3,○,○,○,普通,×,段,×,×,
25324721000,ｸﾚﾏﾁｽ2204,○,4000,○,3200,×,-,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-5,○,○,×,無し,○,段,×,×,
25325021830,練乳ｸﾘｰﾑHK（S）,×,-,限定,2000,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,C,×,×,○,○,無し,○,段,×,×,"基準区分あり、4,900㎏で製造"
25325021850,練乳ｸﾘｰﾑHK（M）,×,-,限定,2000,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,C,×,×,○,○,無し,○,段,×,×,"基準区分あり、4,900㎏で製造"
25325021870,練乳ｸﾘｰﾑHK（H）,×,-,限定,2000,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,C,×,×,○,○,無し,○,段,×,×,"基準区分あり、4,900㎏で製造"
25325121830,ｵﾘﾝﾋﾟｱﾃﾞﾗｯｸｽ(有塩)6K(S),○,2950,○,2950,○,2950,×,-,○,×,×,×,×,×,×,×,×,×,×,×,○,×,×,×,×,×,B,B-3-4,○,○,○,高,×,段,×,×,２ﾊﾞｯﾁ枠必要　流速遅い
25325121850,ｵﾘﾝﾋﾟｱﾃﾞﾗｯｸｽ(有塩)6K(M),○,2950,○,2950,○,2950,×,-,○,×,×,×,×,×,×,×,×,×,×,×,○,×,×,×,×,×,B,B-3-4,○,○,○,高,×,段,×,×,２ﾊﾞｯﾁ枠必要　流速遅い
25325321850,ﾊﾞﾀｰ入り塩ｽﾌﾟﾚｯﾄﾞ-Ⅱ(M),○,3200,○,3200,×,-,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-3-3,○,○,○,普通,○,段,×,×,
25325321870,ﾊﾞﾀｰ入り塩ｽﾌﾟﾚｯﾄﾞ-Ⅱ(H),○,3200,○,3200,×,-,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-3-3,○,○,○,普通,○,段,×,×,
25325521830,ﾈｵｸﾘｰﾐｰﾎｲｯﾌﾟ-LN(S),○,3200,○,3200,×,-,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-3-4,○,○,○,高,○,段,×,×,
25325521850,ﾈｵｸﾘｰﾐｰﾎｲｯﾌﾟ-LN(M),○,3200,○,3200,×,-,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-3-4,○,○,○,高,○,段,×,×,
25325521870,ﾈｵｸﾘｰﾐｰﾎｲｯﾌﾟ-LN(H),○,3200,○,3200,×,-,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-3-4,○,○,○,高,○,段,×,×,
25325621830,BRﾏｰｶﾞﾘﾝ(S),○,2400,○,2400,○,2400,×,-,○,×,×,×,×,×,×,×,×,×,×,×,○,×,×,×,×,×,B,B-3-2,○,○,○,低,×,段,×,×,
25325621850,BRﾏｰｶﾞﾘﾝ(M),○,2400,○,2400,○,2400,×,-,○,×,×,×,×,×,×,×,×,×,×,×,○,×,×,×,×,×,B,B-3-2,○,○,○,低,×,段,×,×,
25325621870,BRﾏｰｶﾞﾘﾝ(H),○,2400,○,2400,○,2400,×,-,○,×,×,×,×,×,×,×,×,×,×,×,○,×,×,×,×,×,B,B-3-2,○,○,○,低,×,段,×,×,
25325721000,CNCﾏｰｶﾞﾘﾝ,限定,3000,×,-,×,-,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,F,最終,○,○,○,無し,○,段,×,×,前バッチに規制はない、MK最終限定　土曜日生産NG
25326621830,ﾗﾝﾃﾞｨCPﾏｰｶﾞﾘﾝ-F(S),○,4000,○,3700,○,4000,×,-,○,×,×,×,×,×,×,×,○,×,×,×,×,×,×,×,×,×,C,最終,○,○,×,普通,×,段,5,×,1系列；5バッチ/日
25326621850,ﾗﾝﾃﾞｨCPﾏｰｶﾞﾘﾝ-F(M),○,4000,○,3700,○,4000,×,-,○,×,×,×,×,×,×,×,○,×,×,×,×,×,×,×,×,×,C,最終,○,○,×,普通,×,段,5,×,1系列；5バッチ/日
25326621870,ﾗﾝﾃﾞｨCPﾏｰｶﾞﾘﾝ-F(H),○,4000,○,3700,○,4000,×,-,○,×,×,×,×,×,×,×,○,×,×,×,×,×,×,×,×,×,C,最終,○,○,×,普通,×,段,5,×,1系列；5バッチ/日
25327921000,ｼｭﾄﾘｰﾑ,×,-,○,3200,○,3200,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,○,×,B,最終,×,×,○,無し,×,段,×,×,FK or KO最終限定、初回バッチからネオシューは計画できない
25328321830,ﾃﾙﾉｱW北海道練乳(S),×,-,○,2000,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,C,×,×,○,○,無し,○,段,×,×,
25328321850,ﾃﾙﾉｱW北海道練乳(M),×,-,○,2000,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,C,×,×,○,○,無し,○,段,×,×,
25328321870,ﾃﾙﾉｱW北海道練乳(H),×,-,○,2000,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,C,×,×,○,○,無し,○,段,×,×,
25328521830,ﾐﾙｸｸﾘｰﾑMM-W2(S),×,-,○,2000,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,C,×,×,○,○,無し,○,段,×,×,
25328521850,ﾐﾙｸｸﾘｰﾑMM-W2(M),×,-,○,2000,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,C,×,×,○,○,無し,○,段,×,×,
25328521870,ﾐﾙｸｸﾘｰﾑMM-W2(H),×,-,○,2000,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,C,×,×,○,○,無し,○,段,×,×,
25328921830,D-BF Ⅰ,○,4000,○,3800,×,-,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,A,初回,×,×,×,無し,〇,段,×,×,
25329321830,ﾐﾙｸｸﾘｰﾑMM-W3(S),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25329321850,ﾐﾙｸｸﾘｰﾑMM-W3(M),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25329321870,ﾐﾙｸｸﾘｰﾑMM-W3(H),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25329421830,ｼﾞｪﾈﾙｰ*(S),○,4000,○,3200,×,-,×,-,○,×,×,×,×,×,×,×,×,×,×,○,○,×,×,×,×,×,C,最終,○,○,○,普通,○,段,1,×,MK or FK最終限定、前バッチに規制はない　1日1ﾊﾞｯﾁ上限連続不可　土曜日生産NG
25329421850,ｼﾞｪﾈﾙｰ*(M),○,4000,○,3200,×,-,×,-,○,×,×,×,×,×,×,×,×,×,×,○,○,×,×,×,×,×,C,最終,○,○,○,普通,○,段,1,×,MK or FK最終限定、前バッチに規制はない　1日1ﾊﾞｯﾁ上限連続不可　土曜日生産NG
25329421870,ｼﾞｪﾈﾙｰ*(H),○,4000,○,3200,×,-,×,-,○,×,×,×,×,×,×,×,×,×,×,○,○,×,×,×,×,×,C,最終,○,○,○,普通,○,段,1,×,MK or FK最終限定、前バッチに規制はない　1日1ﾊﾞｯﾁ上限連続不可　土曜日生産NG
25329521850,ﾏｰｶﾞﾘﾝCF(M),○,4000,○,3800,○,4000,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,初回,×,×,×,無し,×,段,×,×,ＭＫ　ｏｒ　ＦＫ限定
25329921850,SRﾒﾛﾝｸﾘｰﾑ(M),×,-,○,2000,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,C,最終,○,○,○,普通,○,段,×,×,
25330021850,ﾎﾜｲﾄｸﾘｰﾑ24(M),×,-,○,2200,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,×,○,○,○,普通,○,段,×,×,
25330121850,生仕立てﾌｨﾘﾝｸﾞW(M),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25330221000,ﾘｽｻｸｻｸﾏｰｶﾞﾘﾝ-CF,○,4000,○,3800,○,4000,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,A,初回,×,×,×,無し,〇,段,×,×,
25330521830,練乳ｸﾘｰﾑW-MK(S),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25330521850,練乳ｸﾘｰﾑW-MK(M),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25330521870,練乳ｸﾘｰﾑW-MK(H),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25331021000,SPﾏｰｶﾞﾘﾝTK,○,4000,○,3800,○,4000,×,-,○,×,×,×,×,×,×,×,×,×,×,×,○,×,×,×,×,×,B,B-3-3,○,○,○,普通,○,段,×,×,
25331121850,塩ﾚﾓﾝ風ﾌｨﾘﾝｸﾞW(M),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25331121870,塩ﾚﾓﾝ風ﾌｨﾘﾝｸﾞW(H),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25331221870,ﾍﾞｰｽﾌｨﾘﾝｸﾞW-LL(H),×,-,○,2200,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,×,×,×,○,無し,〇,段,×,×,極力初回生産
25331421850,ｼﾞｬﾈｯﾄLL(M),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25331721850,EZﾏ-ｶﾞﾘﾝ-RN(M),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25331721870,EZﾏ-ｶﾞﾘﾝ-RN(H),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25331921830,F-IMA(S),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25340221830,CTｼｰﾄL5-RN(S),×,-,×,-,○,1050,285,12S,×,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,B,×,○,○,○,普通,×,段,×,×,
25340521830,OLｽﾗｲｽ(ｽｨｰﾄﾐﾙｸ)-RN（S),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25350821830,ﾊﾞﾀ-ﾘﾂﾁﾄｶﾁADF(S),○,4000,○,3800,○,4000,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,最終,○,○,○,普通,×,段,×,×,バター多量配合のため最終限定、前バッチに規制はない
25350821850,ﾊﾞﾀ-ﾘﾂﾁﾄｶﾁADF(M),○,4000,○,3800,○,4000,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,最終,○,○,○,普通,×,段,×,×,バター多量配合のため最終限定、前バッチに規制はない
25352021000,ﾌﾟﾗｽﾞﾏAR,○,3000,×,-,×,-,×,-,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,A,Pｽﾀｰ,×,×,○,普通,×,段,×,×,
25352221830,ｱﾛﾏｺﾞｰﾙﾄﾞ*(S),○,4000,○,3800,○,4000,×,-,○,×,×,×,×,×,×,×,×,○,×,×,○,×,×,×,×,×,B,最終,○,○,○,無し,×,段,×,×,MK or FK最終限定、前ﾊﾞｯﾁは塩無しを組む　土曜日生産NG
25352221870,ｱﾛﾏｺﾞｰﾙﾄﾞ*(H),○,4000,○,3800,○,4000,×,-,○,×,×,×,×,×,×,×,×,○,×,×,○,×,×,×,×,×,B,最終,○,○,○,無し,×,段,×,×,MK or FK最終限定、前ﾊﾞｯﾁは塩無しを組む　土曜日生産NG
25352221890,ｱﾛﾏｺﾞｰﾙﾄﾞ*(HH),○,4000,○,3800,○,4000,×,-,○,×,×,×,×,×,×,×,×,○,×,×,○,×,×,×,×,×,B,最終,○,○,○,無し,×,段,×,×,MK or FK最終限定、前ﾊﾞｯﾁは塩無しを組む　土曜日生産NG
25352321000,ｸﾚﾏﾁｽCP,○,3200,○,3200,○,3200,×,-,○,×,×,×,×,×,×,×,×,×,×,×,○,×,×,×,×,×,B,B-3-1,○,○,○,無し,○,段,×,×,
25352421000,ｺ-ﾃｲﾝｸﾞﾌｱﾂﾄ,○,2800,○,2800,×,-,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-2-1,×,○,○,無し,×,段,×,×,NO6充填機指定。
25352521000,YMAﾏｰｶﾞﾘﾝ-3,○,4000,○,3800,○,4000,×,-,○,×,×,×,×,×,×,×,×,×,×,×,○,×,×,×,×,×,B,最終,×,○,×,無し,○,段,×,×,
25352621000,ﾏｰﾍﾞﾗｽCNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25352721830,ﾏｰｶﾞﾘﾝBF(S),○,3200,○,3200,×,-,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,A,初回,×,×,×,無し,〇,段,×,×,
25352921000,ﾃﾞﾘﾌﾟﾗﾝﾂｺｸｱｯﾌﾟ,○,3200,○,3200,×,-,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,A,初回,×,×,×,無し,〇,段,×,×,
25353021830,TKﾏｰｶﾞﾘﾝ(S),○,4000,○,3700,○,3700,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-5,○,○,×,無し,×,段,×,×,
25353021870,TKﾏｰｶﾞﾘﾝ(H),○,4000,○,3700,○,3700,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-5,○,○,×,無し,×,段,×,×,
25353121850,APﾏｰｶﾞﾘﾝ(M),○,2000,○,2000,○,2000,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,A,初回,×,○,×,低,×,段,×,×,２ﾊﾞｯﾁ枠必要　流速遅い　NO6充填機指定。
25391921000,ｸﾚﾏﾁｽEF,○,4000,○,3200,○,3200,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-5,○,○,×,無し,○,段,×,×,
25398621000,ﾋﾟｱﾁｪ,×,-,限定,3200,限定,3200,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-2-1,×,○,○,無し,×,段,×,×,
25398622000,ﾋﾟｱﾁｪ,×,-,○,3200,○,3200,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-2-1,×,○,○,無し,×,段,×,×,
25400021830,ｼﾞｮﾆｰ7（ﾑ)-RN(S),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25400021850,ｼﾞｮﾆｰ7（ﾑ)-RN(M),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25400021870,ｼﾞｮﾆｰ7（ﾑ)-RN(H),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25400121810,ﾏﾙｼｪBL7-RN(SS),○,4000,○,3800,○,4000,×,-,○,×,×,×,×,×,×,×,×,×,×,×,○,×,×,×,×,×,B,B-2-1,×,○,○,無し,×,段,×,×,
25400121830,ﾏﾙｼｪBL7-RN(S),○,4000,○,3800,○,4000,×,-,○,×,×,×,×,×,×,×,×,×,×,×,○,×,×,×,×,×,B,B-2-1,×,○,○,無し,×,段,×,×,
25400121870,ﾏﾙｼｪBL7-RN(H),○,4000,○,3800,○,4000,×,-,○,×,×,×,×,×,×,×,×,×,×,×,○,×,×,×,×,×,B,B-2-1,×,○,○,無し,×,段,×,×,
25400221830,ﾆｭｰｼﾞｮﾆｰ7（S),○,4000,○,3200,○,3200,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-3-2,B-3-2,○,○,○,低,×,段,×,
25400221850,ﾆｭｰｼﾞｮﾆｰ7（M),○,4000,○,3200,○,3200,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-3-2,B-3-2,○,○,○,低,×,段,×,
25400221870,ﾆｭｰｼﾞｮﾆｰ7（H),○,4000,○,3200,○,3200,×,-,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,B-3-2,B-3-2,○,○,○,低,×,段,×,
25451921030,ﾊｲﾏ-ﾁ(ﾐﾙｸ) DF(3),×,-,限定,2000,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,初回,○,○,○,普通,○,段,1,2,原料によるリードタイムあり。液糖入荷に10日必要　1日1ﾊﾞｯﾁ上限連続不可　２ﾊﾞｯﾁ枠必要
25451921040,ﾊｲﾏ-ﾁ(ﾐﾙｸ) DF(4),×,-,限定,2000,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,初回,○,○,○,普通,○,段,1,2,原料によるリードタイムあり。液糖入荷に10日必要　1日1ﾊﾞｯﾁ上限連続不可　２ﾊﾞｯﾁ枠必要
25451921050,ﾊｲﾏ-ﾁ(ﾐﾙｸ) DF(5),×,-,限定,2000,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,初回,○,○,○,普通,○,段,1,2,原料によるリードタイムあり。液糖入荷に10日必要　1日1ﾊﾞｯﾁ上限連続不可　２ﾊﾞｯﾁ枠必要
25451921060,ﾊｲﾏ-ﾁ(ﾐﾙｸ) DF(6),×,-,限定,2000,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,初回,○,○,○,普通,○,段,1,2,原料によるリードタイムあり。液糖入荷に10日必要　1日1ﾊﾞｯﾁ上限連続不可　２ﾊﾞｯﾁ枠必要
25451921070,ﾊｲﾏ-ﾁ(ﾐﾙｸ) DF(7),×,-,限定,2000,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,B,初回,○,○,○,普通,○,段,1,2,原料によるリードタイムあり。液糖入荷に10日必要　1日1ﾊﾞｯﾁ上限連続不可　２ﾊﾞｯﾁ枠必要
25452721830,ﾚﾝﾆﾕｳｸﾘｰﾑ(S),×,-,限定,2000,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,C,×,○,○,○,普通,○,段,×,×,
25452721850,ﾚﾝﾆﾕｳｸﾘｰﾑ(M),×,-,限定,2000,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,C,×,○,○,○,普通,○,段,×,×,
25452721870,ﾚﾝﾆﾕｳｸﾘｰﾑ(H),×,-,限定,2000,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,C,×,○,○,○,普通,○,段,×,×,
25452721890,ﾚﾝﾆﾕｳｸﾘｰﾑ(HH),×,-,限定,2000,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,C,×,○,○,○,普通,○,段,×,×,
25460721830,LWﾐﾙｸｸﾘｰﾑﾍﾞｰｽYZ(S),×,-,限定,2000,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,C,×,×,○,×,普通,○,段,×,×,
25460721850,LWﾐﾙｸｸﾘｰﾑﾍﾞｰｽYZ(M),×,-,限定,2000,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,C,×,×,○,×,普通,○,段,×,×,
25460721870,LWﾐﾙｸｸﾘｰﾑﾍﾞｰｽYZ(H),×,-,限定,2000,×,-,×,-,×,×,×,○,×,×,×,×,×,×,×,×,×,×,×,×,×,×,C,×,×,○,×,普通,○,段,×,×,
